+----+-----------------+------------+-------+------------------+
|    | Package         |   Accuracy |   Lag |   decay_strength |
|----+-----------------+------------+-------+------------------|
|  0 | statsmodels     |       0.85 |     1 |          1       |
|  1 | statsmodels     |       0.75 |     2 |          1       |
|  2 | statsmodels     |       0.6  |     3 |          1       |
|  3 | statsmodels     |       0.65 |     4 |          1       |
|  4 | statsmodels     |       0.55 |     5 |          1       |
|  5 | statsmodels     |       0.65 |     6 |          1       |
|  6 | statsmodels     |       0.6  |     7 |          1       |
|  0 | vars            |       0.9  |     1 |          1       |
|  1 | vars            |       1    |     2 |          1       |
|  2 | vars            |       0.8  |     3 |          1       |
|  3 | vars            |       0.75 |     4 |          1       |
|  4 | vars            |       0.75 |     5 |          1       |
|  5 | vars            |       0.75 |     6 |          1       |
|  6 | vars            |       0.75 |     7 |          1       |
|  0 | lmtest          |       0.9  |     1 |          1       |
|  1 | lmtest          |       1    |     2 |          1       |
|  2 | lmtest          |       0.8  |     3 |          1       |
|  3 | lmtest          |       0.75 |     4 |          1       |
|  4 | lmtest          |       0.75 |     5 |          1       |
|  5 | lmtest          |       0.75 |     6 |          1       |
|  6 | lmtest          |       0.75 |     7 |          1       |
|  0 | VLTimeCausality |       1    |     1 |          1       |
|  1 | VLTimeCausality |       1    |     2 |          1       |
|  2 | VLTimeCausality |       0.9  |     3 |          1       |
|  3 | VLTimeCausality |       0.85 |     4 |          1       |
|  4 | VLTimeCausality |       0.85 |     5 |          1       |
|  5 | VLTimeCausality |       0.85 |     6 |          1       |
|  6 | VLTimeCausality |       0.85 |     7 |          1       |
|  0 | NlinTS          |       0.5  |     1 |          1       |
|  1 | NlinTS          |       0.5  |     2 |          1       |
|  2 | NlinTS          |       0.5  |     3 |          1       |
|  3 | NlinTS          |       0.5  |     4 |          1       |
|  4 | NlinTS          |       0.5  |     5 |          1       |
|  5 | NlinTS          |       0.5  |     6 |          1       |
|  6 | NlinTS          |       0.5  |     7 |          1       |
|  0 | statsmodels     |       0.85 |     1 |          1.22222 |
|  1 | statsmodels     |       0.7  |     2 |          1.22222 |
|  2 | statsmodels     |       0.6  |     3 |          1.22222 |
|  3 | statsmodels     |       0.65 |     4 |          1.22222 |
|  4 | statsmodels     |       0.55 |     5 |          1.22222 |
|  5 | statsmodels     |       0.65 |     6 |          1.22222 |
|  6 | statsmodels     |       0.6  |     7 |          1.22222 |
|  0 | vars            |       0.9  |     1 |          1.22222 |
|  1 | vars            |       1    |     2 |          1.22222 |
|  2 | vars            |       0.8  |     3 |          1.22222 |
|  3 | vars            |       0.75 |     4 |          1.22222 |
|  4 | vars            |       0.75 |     5 |          1.22222 |
|  5 | vars            |       0.75 |     6 |          1.22222 |
|  6 | vars            |       0.75 |     7 |          1.22222 |
|  0 | lmtest          |       0.9  |     1 |          1.22222 |
|  1 | lmtest          |       1    |     2 |          1.22222 |
|  2 | lmtest          |       0.8  |     3 |          1.22222 |
|  3 | lmtest          |       0.75 |     4 |          1.22222 |
|  4 | lmtest          |       0.75 |     5 |          1.22222 |
|  5 | lmtest          |       0.75 |     6 |          1.22222 |
|  6 | lmtest          |       0.75 |     7 |          1.22222 |
|  0 | VLTimeCausality |       1    |     1 |          1.22222 |
|  1 | VLTimeCausality |       1    |     2 |          1.22222 |
|  2 | VLTimeCausality |       0.9  |     3 |          1.22222 |
|  3 | VLTimeCausality |       0.85 |     4 |          1.22222 |
|  4 | VLTimeCausality |       0.85 |     5 |          1.22222 |
|  5 | VLTimeCausality |       0.85 |     6 |          1.22222 |
|  6 | VLTimeCausality |       0.85 |     7 |          1.22222 |
|  0 | NlinTS          |       0.5  |     1 |          1.22222 |
|  1 | NlinTS          |       0.5  |     2 |          1.22222 |
|  2 | NlinTS          |       0.5  |     3 |          1.22222 |
|  3 | NlinTS          |       0.5  |     4 |          1.22222 |
|  4 | NlinTS          |       0.5  |     5 |          1.22222 |
|  5 | NlinTS          |       0.5  |     6 |          1.22222 |
|  6 | NlinTS          |       0.5  |     7 |          1.22222 |
|  0 | statsmodels     |       0.85 |     1 |          1.44444 |
|  1 | statsmodels     |       0.7  |     2 |          1.44444 |
|  2 | statsmodels     |       0.6  |     3 |          1.44444 |
|  3 | statsmodels     |       0.6  |     4 |          1.44444 |
|  4 | statsmodels     |       0.55 |     5 |          1.44444 |
|  5 | statsmodels     |       0.65 |     6 |          1.44444 |
|  6 | statsmodels     |       0.6  |     7 |          1.44444 |
|  0 | vars            |       0.9  |     1 |          1.44444 |
|  1 | vars            |       1    |     2 |          1.44444 |
|  2 | vars            |       0.8  |     3 |          1.44444 |
|  3 | vars            |       0.75 |     4 |          1.44444 |
|  4 | vars            |       0.75 |     5 |          1.44444 |
|  5 | vars            |       0.75 |     6 |          1.44444 |
|  6 | vars            |       0.75 |     7 |          1.44444 |
|  0 | lmtest          |       0.9  |     1 |          1.44444 |
|  1 | lmtest          |       1    |     2 |          1.44444 |
|  2 | lmtest          |       0.8  |     3 |          1.44444 |
|  3 | lmtest          |       0.75 |     4 |          1.44444 |
|  4 | lmtest          |       0.75 |     5 |          1.44444 |
|  5 | lmtest          |       0.75 |     6 |          1.44444 |
|  6 | lmtest          |       0.8  |     7 |          1.44444 |
|  0 | VLTimeCausality |       1    |     1 |          1.44444 |
|  1 | VLTimeCausality |       1    |     2 |          1.44444 |
|  2 | VLTimeCausality |       0.9  |     3 |          1.44444 |
|  3 | VLTimeCausality |       0.85 |     4 |          1.44444 |
|  4 | VLTimeCausality |       0.85 |     5 |          1.44444 |
|  5 | VLTimeCausality |       0.85 |     6 |          1.44444 |
|  6 | VLTimeCausality |       0.85 |     7 |          1.44444 |
|  0 | NlinTS          |       0.5  |     1 |          1.44444 |
|  1 | NlinTS          |       0.5  |     2 |          1.44444 |
|  2 | NlinTS          |       0.5  |     3 |          1.44444 |
|  3 | NlinTS          |       0.5  |     4 |          1.44444 |
|  4 | NlinTS          |       0.5  |     5 |          1.44444 |
|  5 | NlinTS          |       0.5  |     6 |          1.44444 |
|  6 | NlinTS          |       0.5  |     7 |          1.44444 |
|  0 | statsmodels     |       0.85 |     1 |          1.66667 |
|  1 | statsmodels     |       0.7  |     2 |          1.66667 |
|  2 | statsmodels     |       0.6  |     3 |          1.66667 |
|  3 | statsmodels     |       0.6  |     4 |          1.66667 |
|  4 | statsmodels     |       0.6  |     5 |          1.66667 |
|  5 | statsmodels     |       0.65 |     6 |          1.66667 |
|  6 | statsmodels     |       0.6  |     7 |          1.66667 |
|  0 | vars            |       0.9  |     1 |          1.66667 |
|  1 | vars            |       0.95 |     2 |          1.66667 |
|  2 | vars            |       0.8  |     3 |          1.66667 |
|  3 | vars            |       0.75 |     4 |          1.66667 |
|  4 | vars            |       0.75 |     5 |          1.66667 |
|  5 | vars            |       0.75 |     6 |          1.66667 |
|  6 | vars            |       0.7  |     7 |          1.66667 |
|  0 | lmtest          |       0.9  |     1 |          1.66667 |
|  1 | lmtest          |       0.95 |     2 |          1.66667 |
|  2 | lmtest          |       0.8  |     3 |          1.66667 |
|  3 | lmtest          |       0.75 |     4 |          1.66667 |
|  4 | lmtest          |       0.75 |     5 |          1.66667 |
|  5 | lmtest          |       0.75 |     6 |          1.66667 |
|  6 | lmtest          |       0.7  |     7 |          1.66667 |
|  0 | VLTimeCausality |       1    |     1 |          1.66667 |
|  1 | VLTimeCausality |       1    |     2 |          1.66667 |
|  2 | VLTimeCausality |       0.9  |     3 |          1.66667 |
|  3 | VLTimeCausality |       0.85 |     4 |          1.66667 |
|  4 | VLTimeCausality |       0.85 |     5 |          1.66667 |
|  5 | VLTimeCausality |       0.85 |     6 |          1.66667 |
|  6 | VLTimeCausality |       0.8  |     7 |          1.66667 |
