+----+-----------------+------------+-------+-------------+
|    | Package         |   Accuracy |   Lag |   scale_var |
|----+-----------------+------------+-------+-------------|
|  0 | statsmodels     |       0.85 |     1 |           1 |
|  1 | statsmodels     |       0.75 |     2 |           1 |
|  2 | statsmodels     |       0.6  |     3 |           1 |
|  3 | statsmodels     |       0.65 |     4 |           1 |
|  4 | statsmodels     |       0.55 |     5 |           1 |
|  5 | statsmodels     |       0.65 |     6 |           1 |
|  6 | statsmodels     |       0.6  |     7 |           1 |
|  0 | vars            |       0.9  |     1 |           1 |
|  1 | vars            |       1    |     2 |           1 |
|  2 | vars            |       0.8  |     3 |           1 |
|  3 | vars            |       0.75 |     4 |           1 |
|  4 | vars            |       0.75 |     5 |           1 |
|  5 | vars            |       0.75 |     6 |           1 |
|  6 | vars            |       0.75 |     7 |           1 |
|  0 | lmtest          |       0.9  |     1 |           1 |
|  1 | lmtest          |       1    |     2 |           1 |
|  2 | lmtest          |       0.8  |     3 |           1 |
|  3 | lmtest          |       0.75 |     4 |           1 |
|  4 | lmtest          |       0.75 |     5 |           1 |
|  5 | lmtest          |       0.75 |     6 |           1 |
|  6 | lmtest          |       0.75 |     7 |           1 |
|  0 | VLTimeCausality |       1    |     1 |           1 |
|  1 | VLTimeCausality |       1    |     2 |           1 |
|  2 | VLTimeCausality |       0.9  |     3 |           1 |
|  3 | VLTimeCausality |       0.85 |     4 |           1 |
|  4 | VLTimeCausality |       0.85 |     5 |           1 |
|  5 | VLTimeCausality |       0.85 |     6 |           1 |
|  6 | VLTimeCausality |       0.85 |     7 |           1 |
|  0 | NlinTS          |       0.5  |     1 |           1 |
|  1 | NlinTS          |       0.5  |     2 |           1 |
|  2 | NlinTS          |       0.5  |     3 |           1 |
|  3 | NlinTS          |       0.5  |     4 |           1 |
|  4 | NlinTS          |       0.5  |     5 |           1 |
|  5 | NlinTS          |       0.5  |     6 |           1 |
|  6 | NlinTS          |       0.5  |     7 |           1 |
|  0 | statsmodels     |       0.85 |     1 |           3 |
|  1 | statsmodels     |       0.75 |     2 |           3 |
|  2 | statsmodels     |       0.6  |     3 |           3 |
|  3 | statsmodels     |       0.65 |     4 |           3 |
|  4 | statsmodels     |       0.55 |     5 |           3 |
|  5 | statsmodels     |       0.65 |     6 |           3 |
|  6 | statsmodels     |       0.6  |     7 |           3 |
|  0 | vars            |       0.9  |     1 |           3 |
|  1 | vars            |       1    |     2 |           3 |
|  2 | vars            |       0.8  |     3 |           3 |
|  3 | vars            |       0.75 |     4 |           3 |
|  4 | vars            |       0.75 |     5 |           3 |
|  5 | vars            |       0.75 |     6 |           3 |
|  6 | vars            |       0.75 |     7 |           3 |
|  0 | lmtest          |       0.9  |     1 |           3 |
|  1 | lmtest          |       1    |     2 |           3 |
|  2 | lmtest          |       0.8  |     3 |           3 |
|  3 | lmtest          |       0.75 |     4 |           3 |
|  4 | lmtest          |       0.75 |     5 |           3 |
|  5 | lmtest          |       0.75 |     6 |           3 |
|  6 | lmtest          |       0.75 |     7 |           3 |
|  0 | VLTimeCausality |       1    |     1 |           3 |
|  1 | VLTimeCausality |       1    |     2 |           3 |
|  2 | VLTimeCausality |       0.9  |     3 |           3 |
|  3 | VLTimeCausality |       0.85 |     4 |           3 |
|  4 | VLTimeCausality |       0.85 |     5 |           3 |
|  5 | VLTimeCausality |       0.85 |     6 |           3 |
|  6 | VLTimeCausality |       0.85 |     7 |           3 |
|  0 | NlinTS          |       0.5  |     1 |           3 |
|  1 | NlinTS          |       0.5  |     2 |           3 |
|  2 | NlinTS          |       0.5  |     3 |           3 |
|  3 | NlinTS          |       0.5  |     4 |           3 |
|  4 | NlinTS          |       0.5  |     5 |           3 |
|  5 | NlinTS          |       0.5  |     6 |           3 |
|  6 | NlinTS          |       0.5  |     7 |           3 |
|  0 | statsmodels     |       0.85 |     1 |           5 |
|  1 | statsmodels     |       0.75 |     2 |           5 |
|  2 | statsmodels     |       0.6  |     3 |           5 |
|  3 | statsmodels     |       0.65 |     4 |           5 |
|  4 | statsmodels     |       0.55 |     5 |           5 |
|  5 | statsmodels     |       0.65 |     6 |           5 |
|  6 | statsmodels     |       0.6  |     7 |           5 |
|  0 | vars            |       0.9  |     1 |           5 |
|  1 | vars            |       1    |     2 |           5 |
|  2 | vars            |       0.8  |     3 |           5 |
|  3 | vars            |       0.75 |     4 |           5 |
|  4 | vars            |       0.75 |     5 |           5 |
|  5 | vars            |       0.75 |     6 |           5 |
|  6 | vars            |       0.75 |     7 |           5 |
|  0 | lmtest          |       0.9  |     1 |           5 |
|  1 | lmtest          |       1    |     2 |           5 |
|  2 | lmtest          |       0.8  |     3 |           5 |
|  3 | lmtest          |       0.75 |     4 |           5 |
|  4 | lmtest          |       0.75 |     5 |           5 |
|  5 | lmtest          |       0.75 |     6 |           5 |
|  6 | lmtest          |       0.75 |     7 |           5 |
|  0 | VLTimeCausality |       1    |     1 |           5 |
|  1 | VLTimeCausality |       1    |     2 |           5 |
|  2 | VLTimeCausality |       0.9  |     3 |           5 |
|  3 | VLTimeCausality |       0.85 |     4 |           5 |
|  4 | VLTimeCausality |       0.85 |     5 |           5 |
|  5 | VLTimeCausality |       0.85 |     6 |           5 |
|  6 | VLTimeCausality |       0.85 |     7 |           5 |
|  0 | NlinTS          |       0.5  |     1 |           5 |
|  1 | NlinTS          |       0.5  |     2 |           5 |
|  2 | NlinTS          |       0.5  |     3 |           5 |
|  3 | NlinTS          |       0.5  |     4 |           5 |
|  4 | NlinTS          |       0.5  |     5 |           5 |
|  5 | NlinTS          |       0.5  |     6 |           5 |
|  6 | NlinTS          |       0.5  |     7 |           5 |
|  0 | statsmodels     |       0.85 |     1 |           7 |
|  1 | statsmodels     |       0.75 |     2 |           7 |
|  2 | statsmodels     |       0.6  |     3 |           7 |
|  3 | statsmodels     |       0.65 |     4 |           7 |
|  4 | statsmodels     |       0.55 |     5 |           7 |
|  5 | statsmodels     |       0.65 |     6 |           7 |
|  6 | statsmodels     |       0.6  |     7 |           7 |
|  0 | vars            |       0.9  |     1 |           7 |
|  1 | vars            |       1    |     2 |           7 |
|  2 | vars            |       0.8  |     3 |           7 |
|  3 | vars            |       0.75 |     4 |           7 |
|  4 | vars            |       0.75 |     5 |           7 |
|  5 | vars            |       0.75 |     6 |           7 |
|  6 | vars            |       0.75 |     7 |           7 |
|  0 | lmtest          |       0.9  |     1 |           7 |
|  1 | lmtest          |       1    |     2 |           7 |
|  2 | lmtest          |       0.8  |     3 |           7 |
|  3 | lmtest          |       0.75 |     4 |           7 |
|  4 | lmtest          |       0.75 |     5 |           7 |
|  5 | lmtest          |       0.75 |     6 |           7 |
|  6 | lmtest          |       0.75 |     7 |           7 |
|  0 | VLTimeCausality |       1    |     1 |           7 |
|  1 | VLTimeCausality |       1    |     2 |           7 |
|  2 | VLTimeCausality |       0.9  |     3 |           7 |
|  3 | VLTimeCausality |       0.85 |     4 |           7 |
|  4 | VLTimeCausality |       0.85 |     5 |           7 |
|  5 | VLTimeCausality |       0.85 |     6 |           7 |
|  6 | VLTimeCausality |       0.85 |     7 |           7 |
|  0 | NlinTS          |       0.5  |     1 |           7 |
|  1 | NlinTS          |       0.5  |     2 |           7 |
|  2 | NlinTS          |       0.5  |     3 |           7 |
|  3 | NlinTS          |       0.5  |     4 |           7 |
|  4 | NlinTS          |       0.5  |     5 |           7 |
|  5 | NlinTS          |       0.5  |     6 |           7 |
|  6 | NlinTS          |       0.5  |     7 |           7 |
|  0 | statsmodels     |       0.85 |     1 |           9 |
|  1 | statsmodels     |       0.75 |     2 |           9 |
|  2 | statsmodels     |       0.6  |     3 |           9 |
|  3 | statsmodels     |       0.65 |     4 |           9 |
|  4 | statsmodels     |       0.55 |     5 |           9 |
