+----+-----------------+------------+-------+----------------------+
|    | Package         |   Accuracy |   Lag |   significance level |
|----+-----------------+------------+-------+----------------------|
|  0 | statsmodels     |       0.85 |     1 |                 0.01 |
|  1 | statsmodels     |       0.9  |     2 |                 0.01 |
|  2 | statsmodels     |       0.95 |     3 |                 0.01 |
|  3 | statsmodels     |       0.9  |     4 |                 0.01 |
|  4 | statsmodels     |       0.9  |     5 |                 0.01 |
|  5 | statsmodels     |       0.9  |     6 |                 0.01 |
|  6 | statsmodels     |       0.95 |     7 |                 0.01 |
|  0 | vars            |       0.8  |     1 |                 0.01 |
|  1 | vars            |       0.9  |     2 |                 0.01 |
|  2 | vars            |       0.9  |     3 |                 0.01 |
|  3 | vars            |       0.9  |     4 |                 0.01 |
|  4 | vars            |       0.85 |     5 |                 0.01 |
|  5 | vars            |       0.9  |     6 |                 0.01 |
|  6 | vars            |       0.9  |     7 |                 0.01 |
|  0 | lmtest          |       0.8  |     1 |                 0.01 |
|  1 | lmtest          |       0.9  |     2 |                 0.01 |
|  2 | lmtest          |       0.9  |     3 |                 0.01 |
|  3 | lmtest          |       0.9  |     4 |                 0.01 |
|  4 | lmtest          |       0.85 |     5 |                 0.01 |
|  5 | lmtest          |       0.9  |     6 |                 0.01 |
|  6 | lmtest          |       0.9  |     7 |                 0.01 |
|  0 | VLTimeCausality |       1    |     1 |                 0.01 |
|  1 | VLTimeCausality |       1    |     2 |                 0.01 |
|  2 | VLTimeCausality |       1    |     3 |                 0.01 |
|  3 | VLTimeCausality |       1    |     4 |                 0.01 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.01 |
|  5 | VLTimeCausality |       1    |     6 |                 0.01 |
|  6 | VLTimeCausality |       1    |     7 |                 0.01 |
|  0 | NlinTS          |       0.55 |     1 |                 0.01 |
|  1 | NlinTS          |       0.5  |     2 |                 0.01 |
|  2 | NlinTS          |       0.5  |     3 |                 0.01 |
|  3 | NlinTS          |       0.5  |     4 |                 0.01 |
|  4 | NlinTS          |       0.5  |     5 |                 0.01 |
|  5 | NlinTS          |       0.5  |     6 |                 0.01 |
|  6 | NlinTS          |       0.5  |     7 |                 0.01 |
|  0 | statsmodels     |       0.9  |     1 |                 0.02 |
|  1 | statsmodels     |       0.9  |     2 |                 0.02 |
|  2 | statsmodels     |       0.95 |     3 |                 0.02 |
|  3 | statsmodels     |       0.9  |     4 |                 0.02 |
|  4 | statsmodels     |       0.9  |     5 |                 0.02 |
|  5 | statsmodels     |       0.9  |     6 |                 0.02 |
|  6 | statsmodels     |       0.95 |     7 |                 0.02 |
|  0 | vars            |       0.85 |     1 |                 0.02 |
|  1 | vars            |       0.9  |     2 |                 0.02 |
|  2 | vars            |       0.9  |     3 |                 0.02 |
|  3 | vars            |       0.9  |     4 |                 0.02 |
|  4 | vars            |       0.85 |     5 |                 0.02 |
|  5 | vars            |       0.9  |     6 |                 0.02 |
|  6 | vars            |       0.9  |     7 |                 0.02 |
|  0 | lmtest          |       0.85 |     1 |                 0.02 |
|  1 | lmtest          |       0.9  |     2 |                 0.02 |
|  2 | lmtest          |       0.9  |     3 |                 0.02 |
|  3 | lmtest          |       0.9  |     4 |                 0.02 |
|  4 | lmtest          |       0.85 |     5 |                 0.02 |
|  5 | lmtest          |       0.9  |     6 |                 0.02 |
|  6 | lmtest          |       0.9  |     7 |                 0.02 |
|  0 | VLTimeCausality |       1    |     1 |                 0.02 |
|  1 | VLTimeCausality |       1    |     2 |                 0.02 |
|  2 | VLTimeCausality |       1    |     3 |                 0.02 |
|  3 | VLTimeCausality |       1    |     4 |                 0.02 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.02 |
|  5 | VLTimeCausality |       1    |     6 |                 0.02 |
|  6 | VLTimeCausality |       1    |     7 |                 0.02 |
|  0 | NlinTS          |       0.55 |     1 |                 0.02 |
|  1 | NlinTS          |       0.5  |     2 |                 0.02 |
|  2 | NlinTS          |       0.5  |     3 |                 0.02 |
|  3 | NlinTS          |       0.5  |     4 |                 0.02 |
|  4 | NlinTS          |       0.5  |     5 |                 0.02 |
|  5 | NlinTS          |       0.5  |     6 |                 0.02 |
|  6 | NlinTS          |       0.5  |     7 |                 0.02 |
|  0 | statsmodels     |       0.9  |     1 |                 0.03 |
|  1 | statsmodels     |       0.95 |     2 |                 0.03 |
|  2 | statsmodels     |       0.95 |     3 |                 0.03 |
|  3 | statsmodels     |       0.9  |     4 |                 0.03 |
|  4 | statsmodels     |       0.9  |     5 |                 0.03 |
|  5 | statsmodels     |       0.9  |     6 |                 0.03 |
|  6 | statsmodels     |       0.9  |     7 |                 0.03 |
|  0 | vars            |       0.85 |     1 |                 0.03 |
|  1 | vars            |       0.9  |     2 |                 0.03 |
|  2 | vars            |       0.9  |     3 |                 0.03 |
|  3 | vars            |       0.9  |     4 |                 0.03 |
|  4 | vars            |       0.85 |     5 |                 0.03 |
|  5 | vars            |       0.9  |     6 |                 0.03 |
|  6 | vars            |       0.9  |     7 |                 0.03 |
|  0 | lmtest          |       0.85 |     1 |                 0.03 |
|  1 | lmtest          |       0.9  |     2 |                 0.03 |
|  2 | lmtest          |       0.9  |     3 |                 0.03 |
|  3 | lmtest          |       0.9  |     4 |                 0.03 |
|  4 | lmtest          |       0.85 |     5 |                 0.03 |
|  5 | lmtest          |       0.9  |     6 |                 0.03 |
|  6 | lmtest          |       0.9  |     7 |                 0.03 |
|  0 | VLTimeCausality |       1    |     1 |                 0.03 |
|  1 | VLTimeCausality |       1    |     2 |                 0.03 |
|  2 | VLTimeCausality |       1    |     3 |                 0.03 |
|  3 | VLTimeCausality |       1    |     4 |                 0.03 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.03 |
|  5 | VLTimeCausality |       1    |     6 |                 0.03 |
|  6 | VLTimeCausality |       1    |     7 |                 0.03 |
|  0 | NlinTS          |       0.55 |     1 |                 0.03 |
|  1 | NlinTS          |       0.5  |     2 |                 0.03 |
|  2 | NlinTS          |       0.5  |     3 |                 0.03 |
|  3 | NlinTS          |       0.5  |     4 |                 0.03 |
|  4 | NlinTS          |       0.5  |     5 |                 0.03 |
|  5 | NlinTS          |       0.5  |     6 |                 0.03 |
|  6 | NlinTS          |       0.5  |     7 |                 0.03 |
|  0 | statsmodels     |       0.9  |     1 |                 0.04 |
|  1 | statsmodels     |       0.95 |     2 |                 0.04 |
|  2 | statsmodels     |       0.9  |     3 |                 0.04 |
|  3 | statsmodels     |       0.9  |     4 |                 0.04 |
|  4 | statsmodels     |       0.9  |     5 |                 0.04 |
|  5 | statsmodels     |       0.9  |     6 |                 0.04 |
|  6 | statsmodels     |       0.9  |     7 |                 0.04 |
|  0 | vars            |       0.85 |     1 |                 0.04 |
|  1 | vars            |       0.9  |     2 |                 0.04 |
|  2 | vars            |       0.85 |     3 |                 0.04 |
|  3 | vars            |       0.85 |     4 |                 0.04 |
|  4 | vars            |       0.85 |     5 |                 0.04 |
|  5 | vars            |       0.9  |     6 |                 0.04 |
|  6 | vars            |       0.9  |     7 |                 0.04 |
|  0 | lmtest          |       0.85 |     1 |                 0.04 |
|  1 | lmtest          |       0.9  |     2 |                 0.04 |
|  2 | lmtest          |       0.85 |     3 |                 0.04 |
|  3 | lmtest          |       0.85 |     4 |                 0.04 |
|  4 | lmtest          |       0.85 |     5 |                 0.04 |
|  5 | lmtest          |       0.9  |     6 |                 0.04 |
|  6 | lmtest          |       0.9  |     7 |                 0.04 |
|  0 | VLTimeCausality |       1    |     1 |                 0.04 |
|  1 | VLTimeCausality |       1    |     2 |                 0.04 |
|  2 | VLTimeCausality |       0.95 |     3 |                 0.04 |
|  3 | VLTimeCausality |       0.95 |     4 |                 0.04 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.04 |
|  5 | VLTimeCausality |       0.95 |     6 |                 0.04 |
|  6 | VLTimeCausality |       1    |     7 |                 0.04 |
|  0 | NlinTS          |       0.55 |     1 |                 0.04 |
|  1 | NlinTS          |       0.5  |     2 |                 0.04 |
|  2 | NlinTS          |       0.5  |     3 |                 0.04 |
|  3 | NlinTS          |       0.5  |     4 |                 0.04 |
|  4 | NlinTS          |       0.5  |     5 |                 0.04 |
|  5 | NlinTS          |       0.5  |     6 |                 0.04 |
|  6 | NlinTS          |       0.5  |     7 |                 0.04 |
|  0 | statsmodels     |       0.9  |     1 |                 0.05 |
|  1 | statsmodels     |       0.95 |     2 |                 0.05 |
|  2 | statsmodels     |       0.95 |     3 |                 0.05 |
|  3 | statsmodels     |       0.9  |     4 |                 0.05 |
|  4 | statsmodels     |       0.9  |     5 |                 0.05 |
|  5 | statsmodels     |       0.9  |     6 |                 0.05 |
|  6 | statsmodels     |       0.9  |     7 |                 0.05 |
|  0 | vars            |       0.8  |     1 |                 0.05 |
|  1 | vars            |       0.9  |     2 |                 0.05 |
|  2 | vars            |       0.85 |     3 |                 0.05 |
|  3 | vars            |       0.85 |     4 |                 0.05 |
|  4 | vars            |       0.85 |     5 |                 0.05 |
|  5 | vars            |       0.85 |     6 |                 0.05 |
|  6 | vars            |       0.9  |     7 |                 0.05 |
|  0 | lmtest          |       0.8  |     1 |                 0.05 |
|  1 | lmtest          |       0.9  |     2 |                 0.05 |
|  2 | lmtest          |       0.85 |     3 |                 0.05 |
|  3 | lmtest          |       0.85 |     4 |                 0.05 |
|  4 | lmtest          |       0.85 |     5 |                 0.05 |
|  5 | lmtest          |       0.85 |     6 |                 0.05 |
|  6 | lmtest          |       0.9  |     7 |                 0.05 |
|  0 | VLTimeCausality |       0.95 |     1 |                 0.05 |
|  1 | VLTimeCausality |       1    |     2 |                 0.05 |
|  2 | VLTimeCausality |       0.95 |     3 |                 0.05 |
|  3 | VLTimeCausality |       0.95 |     4 |                 0.05 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.05 |
|  5 | VLTimeCausality |       0.95 |     6 |                 0.05 |
|  6 | VLTimeCausality |       1    |     7 |                 0.05 |
|  0 | NlinTS          |       0.55 |     1 |                 0.05 |
|  1 | NlinTS          |       0.5  |     2 |                 0.05 |
|  2 | NlinTS          |       0.5  |     3 |                 0.05 |
|  3 | NlinTS          |       0.5  |     4 |                 0.05 |
|  4 | NlinTS          |       0.5  |     5 |                 0.05 |
|  5 | NlinTS          |       0.5  |     6 |                 0.05 |
|  6 | NlinTS          |       0.5  |     7 |                 0.05 |
|  0 | statsmodels     |       0.9  |     1 |                 0.06 |
|  1 | statsmodels     |       0.95 |     2 |                 0.06 |
|  2 | statsmodels     |       0.95 |     3 |                 0.06 |
|  3 | statsmodels     |       0.95 |     4 |                 0.06 |
|  4 | statsmodels     |       0.9  |     5 |                 0.06 |
|  5 | statsmodels     |       0.9  |     6 |                 0.06 |
|  6 | statsmodels     |       0.85 |     7 |                 0.06 |
|  0 | vars            |       0.8  |     1 |                 0.06 |
|  1 | vars            |       0.9  |     2 |                 0.06 |
|  2 | vars            |       0.85 |     3 |                 0.06 |
|  3 | vars            |       0.85 |     4 |                 0.06 |
|  4 | vars            |       0.85 |     5 |                 0.06 |
|  5 | vars            |       0.85 |     6 |                 0.06 |
|  6 | vars            |       0.9  |     7 |                 0.06 |
|  0 | lmtest          |       0.8  |     1 |                 0.06 |
|  1 | lmtest          |       0.9  |     2 |                 0.06 |
|  2 | lmtest          |       0.85 |     3 |                 0.06 |
|  3 | lmtest          |       0.85 |     4 |                 0.06 |
|  4 | lmtest          |       0.85 |     5 |                 0.06 |
|  5 | lmtest          |       0.85 |     6 |                 0.06 |
|  6 | lmtest          |       0.9  |     7 |                 0.06 |
|  0 | VLTimeCausality |       0.95 |     1 |                 0.06 |
|  1 | VLTimeCausality |       1    |     2 |                 0.06 |
|  2 | VLTimeCausality |       0.95 |     3 |                 0.06 |
|  3 | VLTimeCausality |       0.95 |     4 |                 0.06 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.06 |
|  5 | VLTimeCausality |       0.95 |     6 |                 0.06 |
|  6 | VLTimeCausality |       1    |     7 |                 0.06 |
|  0 | NlinTS          |       0.55 |     1 |                 0.06 |
|  1 | NlinTS          |       0.5  |     2 |                 0.06 |
|  2 | NlinTS          |       0.5  |     3 |                 0.06 |
|  3 | NlinTS          |       0.5  |     4 |                 0.06 |
|  4 | NlinTS          |       0.5  |     5 |                 0.06 |
|  5 | NlinTS          |       0.5  |     6 |                 0.06 |
|  6 | NlinTS          |       0.5  |     7 |                 0.06 |
|  0 | statsmodels     |       0.9  |     1 |                 0.07 |
|  1 | statsmodels     |       0.95 |     2 |                 0.07 |
|  2 | statsmodels     |       0.95 |     3 |                 0.07 |
|  3 | statsmodels     |       0.95 |     4 |                 0.07 |
|  4 | statsmodels     |       0.9  |     5 |                 0.07 |
|  5 | statsmodels     |       0.9  |     6 |                 0.07 |
|  6 | statsmodels     |       0.8  |     7 |                 0.07 |
|  0 | vars            |       0.8  |     1 |                 0.07 |
|  1 | vars            |       0.9  |     2 |                 0.07 |
|  2 | vars            |       0.85 |     3 |                 0.07 |
|  3 | vars            |       0.85 |     4 |                 0.07 |
|  4 | vars            |       0.85 |     5 |                 0.07 |
|  5 | vars            |       0.85 |     6 |                 0.07 |
|  6 | vars            |       0.9  |     7 |                 0.07 |
|  0 | lmtest          |       0.8  |     1 |                 0.07 |
|  1 | lmtest          |       0.9  |     2 |                 0.07 |
|  2 | lmtest          |       0.85 |     3 |                 0.07 |
|  3 | lmtest          |       0.85 |     4 |                 0.07 |
|  4 | lmtest          |       0.85 |     5 |                 0.07 |
|  5 | lmtest          |       0.85 |     6 |                 0.07 |
|  6 | lmtest          |       0.9  |     7 |                 0.07 |
|  0 | VLTimeCausality |       0.95 |     1 |                 0.07 |
|  1 | VLTimeCausality |       1    |     2 |                 0.07 |
|  2 | VLTimeCausality |       0.95 |     3 |                 0.07 |
|  3 | VLTimeCausality |       0.95 |     4 |                 0.07 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.07 |
|  5 | VLTimeCausality |       0.95 |     6 |                 0.07 |
|  6 | VLTimeCausality |       1    |     7 |                 0.07 |
|  0 | NlinTS          |       0.55 |     1 |                 0.07 |
|  1 | NlinTS          |       0.5  |     2 |                 0.07 |
|  2 | NlinTS          |       0.5  |     3 |                 0.07 |
|  3 | NlinTS          |       0.5  |     4 |                 0.07 |
|  4 | NlinTS          |       0.5  |     5 |                 0.07 |
|  5 | NlinTS          |       0.5  |     6 |                 0.07 |
|  6 | NlinTS          |       0.5  |     7 |                 0.07 |
|  0 | statsmodels     |       0.9  |     1 |                 0.08 |
|  1 | statsmodels     |       0.95 |     2 |                 0.08 |
|  2 | statsmodels     |       0.95 |     3 |                 0.08 |
|  3 | statsmodels     |       0.95 |     4 |                 0.08 |
|  4 | statsmodels     |       0.9  |     5 |                 0.08 |
|  5 | statsmodels     |       0.85 |     6 |                 0.08 |
|  6 | statsmodels     |       0.8  |     7 |                 0.08 |
|  0 | vars            |       0.85 |     1 |                 0.08 |
|  1 | vars            |       0.9  |     2 |                 0.08 |
|  2 | vars            |       0.85 |     3 |                 0.08 |
|  3 | vars            |       0.85 |     4 |                 0.08 |
|  4 | vars            |       0.85 |     5 |                 0.08 |
|  5 | vars            |       0.85 |     6 |                 0.08 |
|  6 | vars            |       0.9  |     7 |                 0.08 |
|  0 | lmtest          |       0.85 |     1 |                 0.08 |
|  1 | lmtest          |       0.9  |     2 |                 0.08 |
|  2 | lmtest          |       0.85 |     3 |                 0.08 |
|  3 | lmtest          |       0.85 |     4 |                 0.08 |
|  4 | lmtest          |       0.85 |     5 |                 0.08 |
|  5 | lmtest          |       0.85 |     6 |                 0.08 |
|  6 | lmtest          |       0.9  |     7 |                 0.08 |
|  0 | VLTimeCausality |       0.95 |     1 |                 0.08 |
|  1 | VLTimeCausality |       1    |     2 |                 0.08 |
|  2 | VLTimeCausality |       0.95 |     3 |                 0.08 |
|  3 | VLTimeCausality |       0.95 |     4 |                 0.08 |
|  4 | VLTimeCausality |       0.95 |     5 |                 0.08 |
|  5 | VLTimeCausality |       0.95 |     6 |                 0.08 |
|  6 | VLTimeCausality |       1    |     7 |                 0.08 |
|  0 | NlinTS          |       0.55 |     1 |                 0.08 |
|  1 | NlinTS          |       0.5  |     2 |                 0.08 |
|  2 | NlinTS          |       0.5  |     3 |                 0.08 |
|  3 | NlinTS          |       0.5  |     4 |                 0.08 |
|  4 | NlinTS          |       0.5  |     5 |                 0.08 |
|  5 | NlinTS          |       0.5  |     6 |                 0.08 |
|  6 | NlinTS          |       0.5  |     7 |                 0.08 |
|  0 | statsmodels     |       0.9  |     1 |                 0.09 |
|  1 | statsmodels     |       0.95 |     2 |                 0.09 |
|  2 | statsmodels     |       0.95 |     3 |                 0.09 |
|  3 | statsmodels     |       0.95 |     4 |                 0.09 |
|  4 | statsmodels     |       0.9  |     5 |                 0.09 |
|  5 | statsmodels     |       0.85 |     6 |                 0.09 |
|  6 | statsmodels     |       0.8  |     7 |                 0.09 |
|  0 | vars            |       0.85 |     1 |                 0.09 |
|  1 | vars            |       0.9  |     2 |                 0.09 |
|  2 | vars            |       0.85 |     3 |                 0.09 |
