+----+-----------------+----------------+-------------+---------------+-------+----------------------+
|    | Package         | Type           |        Corr |             p |   Lag |   significance level |
|----+-----------------+----------------+-------------+---------------+-------+----------------------|
|  0 | statsmodels     | Point-Biserial |  -0.624155  |   0.00326802  |     1 |                 0.01 |
|  1 | statsmodels     | Pearson        |  -0.682698  |   0.000910102 |     1 |                 0.01 |
|  2 | statsmodels     | Point-Biserial |  -0.54793   |   0.000252434 |     2 |                 0.01 |
|  3 | statsmodels     | Pearson        |  -0.615006  |   2.41474e-05 |     2 |                 0.01 |
|  4 | statsmodels     | Point-Biserial |  -0.493341  |   6.19977e-05 |     3 |                 0.01 |
|  5 | statsmodels     | Pearson        |  -0.592232  |   6.21587e-07 |     3 |                 0.01 |
|  6 | statsmodels     | Point-Biserial |  -0.415293  |   0.000127857 |     4 |                 0.01 |
|  7 | statsmodels     | Pearson        |  -0.546778  |   1.5438e-07  |     4 |                 0.01 |
|  8 | statsmodels     | Point-Biserial |  -0.417813  |   1.52424e-05 |     5 |                 0.01 |
|  9 | statsmodels     | Pearson        |  -0.571697  |   5.21664e-10 |     5 |                 0.01 |
| 10 | statsmodels     | Point-Biserial |  -0.321821  |   0.000337966 |     6 |                 0.01 |
| 11 | statsmodels     | Pearson        |  -0.422846  |   1.50016e-06 |     6 |                 0.01 |
| 12 | statsmodels     | Point-Biserial |  -0.349452  |   2.31719e-05 |     7 |                 0.01 |
| 13 | statsmodels     | Pearson        |  -0.496722  |   4.32112e-10 |     7 |                 0.01 |
|  0 | vars            | Point-Biserial |  -0.627033  |   0.00308704  |     1 |                 0.01 |
|  1 | vars            | Pearson        |  -0.671432  |   0.00118894  |     1 |                 0.01 |
|  2 | vars            | Point-Biserial |  -0.50337   |   0.000929968 |     2 |                 0.01 |
|  3 | vars            | Pearson        |  -0.579421  |   8.94055e-05 |     2 |                 0.01 |
|  4 | vars            | Point-Biserial |  -0.465959  |   0.000175433 |     3 |                 0.01 |
