+----+-------------+----------------+-----------+-------------+-------+------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   decay_strength |
|----+-------------+----------------+-----------+-------------+-------+------------------|
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |          1       |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |          1       |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |          1       |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |          1       |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |          1       |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |          1       |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |          1       |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |          1       |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |          1       |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |          1       |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |          1       |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |          1       |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |          1       |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |          1       |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |          1       |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |          1       |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |          1       |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |          1       |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |          1       |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |          1       |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |          1       |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |          1       |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |          1       |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |          1       |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |          1       |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |          1       |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |          1       |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |          1       |
|  0 | statsmodels | Point-Biserial | -0.389624 | 0.0894846   |     1 |          1.22222 |
|  1 | statsmodels | Pearson        | -0.540013 | 0.013979    |     1 |          1.22222 |
|  2 | statsmodels | Point-Biserial | -0.337675 | 0.0330928   |     2 |          1.22222 |
|  3 | statsmodels | Pearson        | -0.509077 | 0.000794689 |     2 |          1.22222 |
|  4 | statsmodels | Point-Biserial | -0.306263 | 0.0173175   |     3 |          1.22222 |
|  5 | statsmodels | Pearson        | -0.50039  | 4.67448e-05 |     3 |          1.22222 |
|  6 | statsmodels | Point-Biserial | -0.28475  | 0.0104663   |     4 |          1.22222 |
|  7 | statsmodels | Pearson        | -0.499882 | 2.34778e-06 |     4 |          1.22222 |
|  8 | statsmodels | Point-Biserial | -0.268205 | 0.00697677  |     5 |          1.22222 |
|  9 | statsmodels | Pearson        | -0.500815 | 1.11747e-07 |     5 |          1.22222 |
| 10 | statsmodels | Point-Biserial | -0.255155 | 0.00491526  |     6 |          1.22222 |
| 11 | statsmodels | Pearson        | -0.503306 | 4.65801e-09 |     6 |          1.22222 |
| 12 | statsmodels | Point-Biserial | -0.243651 | 0.00372067  |     7 |          1.22222 |
| 13 | statsmodels | Pearson        | -0.499744 | 3.25871e-10 |     7 |          1.22222 |
|  0 | vars        | Point-Biserial | -0.389624 | 0.0894846   |     1 |          1.22222 |
|  1 | vars        | Pearson        | -0.540013 | 0.013979    |     1 |          1.22222 |
|  2 | vars        | Point-Biserial | -0.337675 | 0.0330928   |     2 |          1.22222 |
|  3 | vars        | Pearson        | -0.509077 | 0.000794689 |     2 |          1.22222 |
|  4 | vars        | Point-Biserial | -0.306263 | 0.0173175   |     3 |          1.22222 |
|  5 | vars        | Pearson        | -0.50039  | 4.67448e-05 |     3 |          1.22222 |
|  6 | vars        | Point-Biserial | -0.28475  | 0.0104663   |     4 |          1.22222 |
|  7 | vars        | Pearson        | -0.499882 | 2.34778e-06 |     4 |          1.22222 |
|  8 | vars        | Point-Biserial | -0.268205 | 0.00697677  |     5 |          1.22222 |
|  9 | vars        | Pearson        | -0.500815 | 1.11747e-07 |     5 |          1.22222 |
| 10 | vars        | Point-Biserial | -0.255155 | 0.00491526  |     6 |          1.22222 |
| 11 | vars        | Pearson        | -0.503306 | 4.65801e-09 |     6 |          1.22222 |
| 12 | vars        | Point-Biserial | -0.243651 | 0.00372067  |     7 |          1.22222 |
| 13 | vars        | Pearson        | -0.499744 | 3.25871e-10 |     7 |          1.22222 |
|  0 | statsmodels | Point-Biserial | -0.390087 | 0.0890712   |     1 |          1.44444 |
|  1 | statsmodels | Pearson        | -0.541172 | 0.0137352   |     1 |          1.44444 |
|  2 | statsmodels | Point-Biserial | -0.327048 | 0.0394107   |     2 |          1.44444 |
|  3 | statsmodels | Pearson        | -0.509089 | 0.000794419 |     2 |          1.44444 |
|  4 | statsmodels | Point-Biserial | -0.289877 | 0.0246644   |     3 |          1.44444 |
|  5 | statsmodels | Pearson        | -0.499793 | 4.78882e-05 |     3 |          1.44444 |
|  6 | statsmodels | Point-Biserial | -0.264872 | 0.0175784   |     4 |          1.44444 |
|  7 | statsmodels | Pearson        | -0.499166 | 2.43999e-06 |     4 |          1.44444 |
|  8 | statsmodels | Point-Biserial | -0.246148 | 0.0135628   |     5 |          1.44444 |
|  9 | statsmodels | Pearson        | -0.500051 | 1.17648e-07 |     5 |          1.44444 |
| 10 | statsmodels | Point-Biserial | -0.231521 | 0.0109495   |     6 |          1.44444 |
| 11 | statsmodels | Pearson        | -0.501874 | 5.23264e-09 |     6 |          1.44444 |
| 12 | statsmodels | Point-Biserial | -0.219635 | 0.00912399  |     7 |          1.44444 |
| 13 | statsmodels | Pearson        | -0.496506 | 4.40863e-10 |     7 |          1.44444 |
|  0 | vars        | Point-Biserial | -0.390087 | 0.0890712   |     1 |          1.44444 |
|  1 | vars        | Pearson        | -0.541172 | 0.0137352   |     1 |          1.44444 |
|  2 | vars        | Point-Biserial | -0.327048 | 0.0394107   |     2 |          1.44444 |
|  3 | vars        | Pearson        | -0.509089 | 0.000794419 |     2 |          1.44444 |
|  4 | vars        | Point-Biserial | -0.289877 | 0.0246644   |     3 |          1.44444 |
|  5 | vars        | Pearson        | -0.499793 | 4.78882e-05 |     3 |          1.44444 |
|  6 | vars        | Point-Biserial | -0.264872 | 0.0175784   |     4 |          1.44444 |
