+----+-------------+----------------+------------+-------------+-------+-------------+
|    | Package     | Type           |       Corr |           p |   Lag |   scale_cov |
|----+-------------+----------------+------------+-------------+-------+-------------|
|  0 | statsmodels | Point-Biserial | -0.389074  | 0.0899777   |     1 |           0 |
|  1 | statsmodels | Pearson        | -0.538564  | 0.0142884   |     1 |           0 |
|  2 | statsmodels | Point-Biserial | -0.348384  | 0.027592    |     2 |           0 |
|  3 | statsmodels | Pearson        | -0.509056  | 0.000795146 |     2 |           0 |
|  4 | statsmodels | Point-Biserial | -0.323593  | 0.0116666   |     3 |           0 |
|  5 | statsmodels | Pearson        | -0.500715  | 4.61338e-05 |     3 |           0 |
|  6 | statsmodels | Point-Biserial | -0.306577  | 0.00567674  |     4 |           0 |
|  7 | statsmodels | Pearson        | -0.500326  | 2.29238e-06 |     4 |           0 |
|  8 | statsmodels | Point-Biserial | -0.293187  | 0.00307285  |     5 |           0 |
|  9 | statsmodels | Pearson        | -0.501276  | 1.08331e-07 |     5 |           0 |
| 10 | statsmodels | Point-Biserial | -0.282674  | 0.00175893  |     6 |           0 |
| 11 | statsmodels | Pearson        | -0.504277  | 4.30339e-09 |     6 |           0 |
| 12 | statsmodels | Point-Biserial | -0.272499  | 0.0011251   |     7 |           0 |
| 13 | statsmodels | Pearson        | -0.502223  | 2.58006e-10 |     7 |           0 |
|  0 | vars        | Point-Biserial | -0.389074  | 0.0899777   |     1 |           0 |
|  1 | vars        | Pearson        | -0.538564  | 0.0142884   |     1 |           0 |
|  2 | vars        | Point-Biserial | -0.348384  | 0.027592    |     2 |           0 |
|  3 | vars        | Pearson        | -0.509056  | 0.000795146 |     2 |           0 |
|  4 | vars        | Point-Biserial | -0.323593  | 0.0116666   |     3 |           0 |
|  5 | vars        | Pearson        | -0.500715  | 4.61338e-05 |     3 |           0 |
|  6 | vars        | Point-Biserial | -0.306577  | 0.00567674  |     4 |           0 |
|  7 | vars        | Pearson        | -0.500326  | 2.29238e-06 |     4 |           0 |
|  8 | vars        | Point-Biserial | -0.293187  | 0.00307285  |     5 |           0 |
|  9 | vars        | Pearson        | -0.501276  | 1.08331e-07 |     5 |           0 |
| 10 | vars        | Point-Biserial | -0.282674  | 0.00175893  |     6 |           0 |
| 11 | vars        | Pearson        | -0.504277  | 4.30339e-09 |     6 |           0 |
| 12 | vars        | Point-Biserial | -0.272499  | 0.0011251   |     7 |           0 |
| 13 | vars        | Pearson        | -0.502223  | 2.58006e-10 |     7 |           0 |
|  0 | statsmodels | Point-Biserial |  0.0354008 | 0.882209    |     1 |          10 |
|  1 | statsmodels | Pearson        |  0.137583  | 0.562972    |     1 |          10 |
|  2 | statsmodels | Point-Biserial | -0.173347  | 0.284754    |     2 |          10 |
|  3 | statsmodels | Pearson        | -0.524437  | 0.000513348 |     2 |          10 |
|  4 | statsmodels | Point-Biserial |  0.127556  | 0.331431    |     3 |          10 |
|  5 | statsmodels | Pearson        | -0.119327  | 0.363819    |     3 |          10 |
|  6 | statsmodels | Point-Biserial |  0.105622  | 0.3511      |     4 |          10 |
|  7 | statsmodels | Pearson        | -0.168072  | 0.13616     |     4 |          10 |
|  8 | statsmodels | Point-Biserial |  0.125993  | 0.21164     |     5 |          10 |
|  9 | statsmodels | Pearson        | -0.0965373 | 0.33934     |     5 |          10 |
| 10 | statsmodels | Point-Biserial |  0.102442  | 0.265546    |     6 |          10 |
| 11 | statsmodels | Pearson        | -0.149955  | 0.102103    |     6 |          10 |
| 12 | statsmodels | Point-Biserial |  0.0938168 | 0.270228    |     7 |          10 |
| 13 | statsmodels | Pearson        | -0.123457  | 0.146159    |     7 |          10 |
|  0 | vars        | Point-Biserial |  0.0354008 | 0.882209    |     1 |          10 |
|  1 | vars        | Pearson        |  0.137583  | 0.562972    |     1 |          10 |
|  2 | vars        | Point-Biserial | -0.173347  | 0.284754    |     2 |          10 |
|  3 | vars        | Pearson        | -0.524437  | 0.000513348 |     2 |          10 |
|  4 | vars        | Point-Biserial |  0.127556  | 0.331431    |     3 |          10 |
|  5 | vars        | Pearson        | -0.119327  | 0.363819    |     3 |          10 |
|  6 | vars        | Point-Biserial |  0.105622  | 0.3511      |     4 |          10 |
|  7 | vars        | Pearson        | -0.168072  | 0.13616     |     4 |          10 |
|  8 | vars        | Point-Biserial |  0.125993  | 0.21164     |     5 |          10 |
|  9 | vars        | Pearson        | -0.0965373 | 0.33934     |     5 |          10 |
| 10 | vars        | Point-Biserial |  0.102442  | 0.265546    |     6 |          10 |
| 11 | vars        | Pearson        | -0.149955  | 0.102103    |     6 |          10 |
| 12 | vars        | Point-Biserial |  0.0938168 | 0.270228    |     7 |          10 |
| 13 | vars        | Pearson        | -0.123457  | 0.146159    |     7 |          10 |
|  0 | statsmodels | Point-Biserial |  0.0312851 | 0.895828    |     1 |          20 |
|  1 | statsmodels | Pearson        |  0.0906592 | 0.703858    |     1 |          20 |
|  2 | statsmodels | Point-Biserial | -0.176328  | 0.276423    |     2 |          20 |
|  3 | statsmodels | Pearson        | -0.508575  | 0.000805835 |     2 |          20 |
|  4 | statsmodels | Point-Biserial |  0.12184   | 0.353732    |     3 |          20 |
|  5 | statsmodels | Pearson        | -0.129933  | 0.322426    |     3 |          20 |
|  6 | statsmodels | Point-Biserial |  0.100043  | 0.377266    |     4 |          20 |
|  7 | statsmodels | Pearson        | -0.179285  | 0.111552    |     4 |          20 |
|  8 | statsmodels | Point-Biserial |  0.118505  | 0.240278    |     5 |          20 |
|  9 | statsmodels | Pearson        | -0.11992   | 0.234669    |     5 |          20 |
| 10 | statsmodels | Point-Biserial |  0.0910814 | 0.322486    |     6 |          20 |
| 11 | statsmodels | Pearson        | -0.180151  | 0.0489606   |     6 |          20 |
| 12 | statsmodels | Point-Biserial |  0.0823532 | 0.333382    |     7 |          20 |
| 13 | statsmodels | Pearson        | -0.157253  | 0.0635223   |     7 |          20 |
|  0 | vars        | Point-Biserial |  0.0312851 | 0.895828    |     1 |          20 |
|  1 | vars        | Pearson        |  0.0906592 | 0.703858    |     1 |          20 |
|  2 | vars        | Point-Biserial | -0.176328  | 0.276423    |     2 |          20 |
|  3 | vars        | Pearson        | -0.508575  | 0.000805835 |     2 |          20 |
|  4 | vars        | Point-Biserial |  0.12184   | 0.353732    |     3 |          20 |
|  5 | vars        | Pearson        | -0.129933  | 0.322426    |     3 |          20 |
|  6 | vars        | Point-Biserial |  0.100043  | 0.377266    |     4 |          20 |
|  7 | vars        | Pearson        | -0.179285  | 0.111552    |     4 |          20 |
|  8 | vars        | Point-Biserial |  0.118505  | 0.240278    |     5 |          20 |
|  9 | vars        | Pearson        | -0.11992   | 0.234669    |     5 |          20 |
| 10 | vars        | Point-Biserial |  0.0910814 | 0.322486    |     6 |          20 |
| 11 | vars        | Pearson        | -0.180151  | 0.0489606   |     6 |          20 |
| 12 | vars        | Point-Biserial |  0.0823532 | 0.333382    |     7 |          20 |
| 13 | vars        | Pearson        | -0.157253  | 0.0635223   |     7 |          20 |
|  0 | statsmodels | Point-Biserial |  0.0117502 | 0.960787    |     1 |          30 |
|  1 | statsmodels | Pearson        |  0.0448746 | 0.850988    |     1 |          30 |
|  2 | statsmodels | Point-Biserial | -0.17376   | 0.28359     |     2 |          30 |
|  3 | statsmodels | Pearson        | -0.485024  | 0.00151399  |     2 |          30 |
|  4 | statsmodels | Point-Biserial |  0.114182  | 0.385016    |     3 |          30 |
|  5 | statsmodels | Pearson        | -0.143382  | 0.274427    |     3 |          30 |
|  6 | statsmodels | Point-Biserial |  0.0954501 | 0.399665    |     4 |          30 |
|  7 | statsmodels | Pearson        | -0.188394  | 0.0942198   |     4 |          30 |
|  8 | statsmodels | Point-Biserial |  0.109475  | 0.278254    |     5 |          30 |
|  9 | statsmodels | Pearson        | -0.145037  | 0.149935    |     5 |          30 |
| 10 | statsmodels | Point-Biserial |  0.0778973 | 0.397733    |     6 |          30 |
| 11 | statsmodels | Pearson        | -0.211779  | 0.0202305   |     6 |          30 |
| 12 | statsmodels | Point-Biserial |  0.0684138 | 0.421878    |     7 |          30 |
| 13 | statsmodels | Pearson        | -0.195191  | 0.0208273   |     7 |          30 |
|  0 | vars        | Point-Biserial |  0.0117502 | 0.960787    |     1 |          30 |
|  1 | vars        | Pearson        |  0.0448746 | 0.850988    |     1 |          30 |
|  2 | vars        | Point-Biserial | -0.17376   | 0.28359     |     2 |          30 |
|  3 | vars        | Pearson        | -0.485024  | 0.00151399  |     2 |          30 |
|  4 | vars        | Point-Biserial |  0.114182  | 0.385016    |     3 |          30 |
|  5 | vars        | Pearson        | -0.143382  | 0.274427    |     3 |          30 |
|  6 | vars        | Point-Biserial |  0.0954501 | 0.399665    |     4 |          30 |
|  7 | vars        | Pearson        | -0.188394  | 0.0942198   |     4 |          30 |
|  8 | vars        | Point-Biserial |  0.109475  | 0.278254    |     5 |          30 |
|  9 | vars        | Pearson        | -0.145037  | 0.149935    |     5 |          30 |
| 10 | vars        | Point-Biserial |  0.0778973 | 0.397733    |     6 |          30 |
| 11 | vars        | Pearson        | -0.211779  | 0.0202305   |     6 |          30 |
| 12 | vars        | Point-Biserial |  0.0684138 | 0.421878    |     7 |          30 |
| 13 | vars        | Pearson        | -0.195191  | 0.0208273   |     7 |          30 |
|  0 | statsmodels | Point-Biserial | -0.0190122 | 0.93659     |     1 |          40 |
|  1 | statsmodels | Pearson        | -0.0218709 | 0.927078    |     1 |          40 |
|  2 | statsmodels | Point-Biserial | -0.175149  | 0.2797      |     2 |          40 |
|  3 | statsmodels | Pearson        | -0.470664  | 0.00217683  |     2 |          40 |
|  4 | statsmodels | Point-Biserial |  0.0994271 | 0.449749    |     3 |          40 |
|  5 | statsmodels | Pearson        | -0.170128  | 0.193745    |     3 |          40 |
|  6 | statsmodels | Point-Biserial |  0.0861431 | 0.447389    |     4 |          40 |
|  7 | statsmodels | Pearson        | -0.206709  | 0.0658137   |     4 |          40 |
|  8 | statsmodels | Point-Biserial |  0.0975852 | 0.334099    |     5 |          40 |
|  9 | statsmodels | Pearson        | -0.174662  | 0.0822028   |     5 |          40 |
| 10 | statsmodels | Point-Biserial |  0.0608025 | 0.509448    |     6 |          40 |
| 11 | statsmodels | Pearson        | -0.249873  | 0.00591658  |     6 |          40 |
| 12 | statsmodels | Point-Biserial |  0.0503968 | 0.554298    |     7 |          40 |
| 13 | statsmodels | Pearson        | -0.240709  | 0.00417248  |     7 |          40 |
|  0 | vars        | Point-Biserial | -0.0190122 | 0.93659     |     1 |          40 |
|  1 | vars        | Pearson        | -0.0218709 | 0.927078    |     1 |          40 |
|  2 | vars        | Point-Biserial | -0.175149  | 0.2797      |     2 |          40 |
|  3 | vars        | Pearson        | -0.470664  | 0.00217683  |     2 |          40 |
|  4 | vars        | Point-Biserial |  0.0994271 | 0.449749    |     3 |          40 |
|  5 | vars        | Pearson        | -0.170128  | 0.193745    |     3 |          40 |
|  6 | vars        | Point-Biserial |  0.0861431 | 0.447389    |     4 |          40 |
|  7 | vars        | Pearson        | -0.206709  | 0.0658137   |     4 |          40 |
|  8 | vars        | Point-Biserial |  0.0975852 | 0.334099    |     5 |          40 |
|  9 | vars        | Pearson        | -0.174662  | 0.0822028   |     5 |          40 |
| 10 | vars        | Point-Biserial |  0.0608025 | 0.509448    |     6 |          40 |
| 11 | vars        | Pearson        | -0.249873  | 0.00591658  |     6 |          40 |
| 12 | vars        | Point-Biserial |  0.0503968 | 0.554298    |     7 |          40 |
| 13 | vars        | Pearson        | -0.240709  | 0.00417248  |     7 |          40 |
|  0 | statsmodels | Point-Biserial | -0.0568424 | 0.811857    |     1 |          50 |
|  1 | statsmodels | Pearson        | -0.105883  | 0.656835    |     1 |          50 |
|  2 | statsmodels | Point-Biserial | -0.180158  | 0.265958    |     2 |          50 |
|  3 | statsmodels | Pearson        | -0.465631  | 0.00246329  |     2 |          50 |
|  4 | statsmodels | Point-Biserial |  0.0738057 | 0.575182    |     3 |          50 |
|  5 | statsmodels | Pearson        | -0.21593   | 0.0975162   |     3 |          50 |
|  6 | statsmodels | Point-Biserial |  0.0701167 | 0.536553    |     4 |          50 |
|  7 | statsmodels | Pearson        | -0.23776   | 0.033697    |     4 |          50 |
|  8 | statsmodels | Point-Biserial |  0.0825071 | 0.414448    |     5 |          50 |
|  9 | statsmodels | Pearson        | -0.209116  | 0.0367963   |     5 |          50 |
| 10 | statsmodels | Point-Biserial |  0.0395066 | 0.668352    |     6 |          50 |
| 11 | statsmodels | Pearson        | -0.294571  | 0.00109128  |     6 |          50 |
| 12 | statsmodels | Point-Biserial |  0.0287234 | 0.736205    |     7 |          50 |
| 13 | statsmodels | Pearson        | -0.291722  | 0.000470279 |     7 |          50 |
|  0 | vars        | Point-Biserial | -0.0568424 | 0.811857    |     1 |          50 |
|  1 | vars        | Pearson        | -0.105883  | 0.656835    |     1 |          50 |
|  2 | vars        | Point-Biserial | -0.180158  | 0.265958    |     2 |          50 |
|  3 | vars        | Pearson        | -0.465631  | 0.00246329  |     2 |          50 |
|  4 | vars        | Point-Biserial |  0.0738057 | 0.575182    |     3 |          50 |
|  5 | vars        | Pearson        | -0.21593   | 0.0975162   |     3 |          50 |
|  6 | vars        | Point-Biserial |  0.0701167 | 0.536553    |     4 |          50 |
|  7 | vars        | Pearson        | -0.23776   | 0.033697    |     4 |          50 |
|  8 | vars        | Point-Biserial |  0.0825071 | 0.414448    |     5 |          50 |
|  9 | vars        | Pearson        | -0.209116  | 0.0367963   |     5 |          50 |
| 10 | vars        | Point-Biserial |  0.0395066 | 0.668352    |     6 |          50 |
| 11 | vars        | Pearson        | -0.294571  | 0.00109128  |     6 |          50 |
| 12 | vars        | Point-Biserial |  0.0287234 | 0.736205    |     7 |          50 |
| 13 | vars        | Pearson        | -0.291722  | 0.000470279 |     7 |          50 |
|  0 | statsmodels | Point-Biserial | -0.222466  | 0.345821    |     1 |          60 |
|  1 | statsmodels | Pearson        | -0.411619  | 0.0713573   |     1 |          60 |
|  2 | statsmodels | Point-Biserial | -0.318002  | 0.045534    |     2 |          60 |
|  3 | statsmodels | Pearson        | -0.627591  | 1.46166e-05 |     2 |          60 |
|  4 | statsmodels | Point-Biserial | -0.16977   | 0.194697    |     3 |          60 |
|  5 | statsmodels | Pearson        | -0.540212  | 8.38841e-06 |     3 |          60 |
|  6 | statsmodels | Point-Biserial | -0.140311  | 0.214466    |     4 |          60 |
|  7 | statsmodels | Pearson        | -0.551629  | 1.13709e-07 |     4 |          60 |
