+----+-------------+------------+-------+-------------+
|    | Package     |   Accuracy |   Lag |   scale_var |
|----+-------------+------------+-------+-------------|
|  0 | statsmodels |        0.8 |     1 |           1 |
|  1 | statsmodels |        0.7 |     2 |           1 |
|  2 | statsmodels |        0.7 |     3 |           1 |
|  3 | statsmodels |        0.7 |     4 |           1 |
|  4 | statsmodels |        0.7 |     5 |           1 |
|  5 | statsmodels |        0.7 |     6 |           1 |
|  6 | statsmodels |        0.7 |     7 |           1 |
|  0 | vars        |        0.8 |     1 |           1 |
|  1 | vars        |        0.7 |     2 |           1 |
|  2 | vars        |        0.7 |     3 |           1 |
|  3 | vars        |        0.7 |     4 |           1 |
|  4 | vars        |        0.7 |     5 |           1 |
|  5 | vars        |        0.7 |     6 |           1 |
|  6 | vars        |        0.7 |     7 |           1 |
|  0 | statsmodels |        0.8 |     1 |           2 |
|  1 | statsmodels |        0.7 |     2 |           2 |
|  2 | statsmodels |        0.7 |     3 |           2 |
|  3 | statsmodels |        0.7 |     4 |           2 |
|  4 | statsmodels |        0.7 |     5 |           2 |
|  5 | statsmodels |        0.7 |     6 |           2 |
|  6 | statsmodels |        0.7 |     7 |           2 |
|  0 | vars        |        0.8 |     1 |           2 |
|  1 | vars        |        0.7 |     2 |           2 |
|  2 | vars        |        0.7 |     3 |           2 |
|  3 | vars        |        0.7 |     4 |           2 |
|  4 | vars        |        0.7 |     5 |           2 |
|  5 | vars        |        0.7 |     6 |           2 |
|  6 | vars        |        0.7 |     7 |           2 |
|  0 | statsmodels |        0.8 |     1 |           3 |
|  1 | statsmodels |        0.7 |     2 |           3 |
|  2 | statsmodels |        0.7 |     3 |           3 |
|  3 | statsmodels |        0.7 |     4 |           3 |
|  4 | statsmodels |        0.7 |     5 |           3 |
|  5 | statsmodels |        0.7 |     6 |           3 |
|  6 | statsmodels |        0.7 |     7 |           3 |
|  0 | vars        |        0.8 |     1 |           3 |
|  1 | vars        |        0.7 |     2 |           3 |
|  2 | vars        |        0.7 |     3 |           3 |
|  3 | vars        |        0.7 |     4 |           3 |
|  4 | vars        |        0.7 |     5 |           3 |
|  5 | vars        |        0.7 |     6 |           3 |
|  6 | vars        |        0.7 |     7 |           3 |
|  0 | statsmodels |        0.8 |     1 |           4 |
|  1 | statsmodels |        0.7 |     2 |           4 |
|  2 | statsmodels |        0.7 |     3 |           4 |
|  3 | statsmodels |        0.7 |     4 |           4 |
|  4 | statsmodels |        0.7 |     5 |           4 |
|  5 | statsmodels |        0.7 |     6 |           4 |
|  6 | statsmodels |        0.7 |     7 |           4 |
|  0 | vars        |        0.8 |     1 |           4 |
|  1 | vars        |        0.7 |     2 |           4 |
|  2 | vars        |        0.7 |     3 |           4 |
|  3 | vars        |        0.7 |     4 |           4 |
|  4 | vars        |        0.7 |     5 |           4 |
|  5 | vars        |        0.7 |     6 |           4 |
|  6 | vars        |        0.7 |     7 |           4 |
|  0 | statsmodels |        0.8 |     1 |           5 |
|  1 | statsmodels |        0.7 |     2 |           5 |
|  2 | statsmodels |        0.7 |     3 |           5 |
|  3 | statsmodels |        0.7 |     4 |           5 |
|  4 | statsmodels |        0.7 |     5 |           5 |
|  5 | statsmodels |        0.7 |     6 |           5 |
|  6 | statsmodels |        0.7 |     7 |           5 |
|  0 | vars        |        0.8 |     1 |           5 |
|  1 | vars        |        0.7 |     2 |           5 |
|  2 | vars        |        0.7 |     3 |           5 |
|  3 | vars        |        0.7 |     4 |           5 |
|  4 | vars        |        0.7 |     5 |           5 |
|  5 | vars        |        0.7 |     6 |           5 |
|  6 | vars        |        0.7 |     7 |           5 |
|  0 | statsmodels |        0.8 |     1 |           6 |
|  1 | statsmodels |        0.7 |     2 |           6 |
|  2 | statsmodels |        0.7 |     3 |           6 |
|  3 | statsmodels |        0.7 |     4 |           6 |
|  4 | statsmodels |        0.7 |     5 |           6 |
|  5 | statsmodels |        0.7 |     6 |           6 |
|  6 | statsmodels |        0.7 |     7 |           6 |
|  0 | vars        |        0.8 |     1 |           6 |
|  1 | vars        |        0.7 |     2 |           6 |
|  2 | vars        |        0.7 |     3 |           6 |
|  3 | vars        |        0.7 |     4 |           6 |
|  4 | vars        |        0.7 |     5 |           6 |
|  5 | vars        |        0.7 |     6 |           6 |
|  6 | vars        |        0.7 |     7 |           6 |
|  0 | statsmodels |        0.8 |     1 |           7 |
|  1 | statsmodels |        0.7 |     2 |           7 |
|  2 | statsmodels |        0.7 |     3 |           7 |
|  3 | statsmodels |        0.7 |     4 |           7 |
|  4 | statsmodels |        0.7 |     5 |           7 |
|  5 | statsmodels |        0.7 |     6 |           7 |
|  6 | statsmodels |        0.7 |     7 |           7 |
|  0 | vars        |        0.8 |     1 |           7 |
|  1 | vars        |        0.7 |     2 |           7 |
|  2 | vars        |        0.7 |     3 |           7 |
|  3 | vars        |        0.7 |     4 |           7 |
|  4 | vars        |        0.7 |     5 |           7 |
|  5 | vars        |        0.7 |     6 |           7 |
|  6 | vars        |        0.7 |     7 |           7 |
|  0 | statsmodels |        0.8 |     1 |           8 |
|  1 | statsmodels |        0.7 |     2 |           8 |
|  2 | statsmodels |        0.7 |     3 |           8 |
|  3 | statsmodels |        0.7 |     4 |           8 |
|  4 | statsmodels |        0.7 |     5 |           8 |
|  5 | statsmodels |        0.7 |     6 |           8 |
|  6 | statsmodels |        0.7 |     7 |           8 |
|  0 | vars        |        0.8 |     1 |           8 |
|  1 | vars        |        0.7 |     2 |           8 |
|  2 | vars        |        0.7 |     3 |           8 |
|  3 | vars        |        0.7 |     4 |           8 |
|  4 | vars        |        0.7 |     5 |           8 |
|  5 | vars        |        0.7 |     6 |           8 |
|  6 | vars        |        0.7 |     7 |           8 |
|  0 | statsmodels |        0.8 |     1 |           9 |
|  1 | statsmodels |        0.7 |     2 |           9 |
|  2 | statsmodels |        0.7 |     3 |           9 |
|  3 | statsmodels |        0.7 |     4 |           9 |
|  4 | statsmodels |        0.7 |     5 |           9 |
|  5 | statsmodels |        0.7 |     6 |           9 |
|  6 | statsmodels |        0.7 |     7 |           9 |
|  0 | vars        |        0.8 |     1 |           9 |
|  1 | vars        |        0.7 |     2 |           9 |
|  2 | vars        |        0.7 |     3 |           9 |
|  3 | vars        |        0.7 |     4 |           9 |
|  4 | vars        |        0.7 |     5 |           9 |
|  5 | vars        |        0.7 |     6 |           9 |
|  6 | vars        |        0.7 |     7 |           9 |
|  0 | statsmodels |        0.8 |     1 |          10 |
|  1 | statsmodels |        0.7 |     2 |          10 |
|  2 | statsmodels |        0.7 |     3 |          10 |
|  3 | statsmodels |        0.7 |     4 |          10 |
|  4 | statsmodels |        0.7 |     5 |          10 |
|  5 | statsmodels |        0.7 |     6 |          10 |
|  6 | statsmodels |        0.7 |     7 |          10 |
|  0 | vars        |        0.8 |     1 |          10 |
|  1 | vars        |        0.7 |     2 |          10 |
|  2 | vars        |        0.7 |     3 |          10 |
|  3 | vars        |        0.7 |     4 |          10 |
|  4 | vars        |        0.7 |     5 |          10 |
|  5 | vars        |        0.7 |     6 |          10 |
|  6 | vars        |        0.7 |     7 |          10 |
+----+-------------+------------+-------+-------------+
