+----+-------------+----------------+-----------+-------------+-------+-------------+
|    | Package     | Type           |      Corr |           p |   Lag |   scale_var |
|----+-------------+----------------+-----------+-------------+-------+-------------|
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           1 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           1 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           1 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           1 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           1 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           1 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           1 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           1 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           1 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           1 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           1 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           1 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           1 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           1 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           1 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           1 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           1 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           1 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           1 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           1 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           1 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           1 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           1 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           1 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           1 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           1 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           1 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           1 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           2 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           2 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           2 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           2 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           2 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           2 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           2 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           2 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           2 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           2 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           2 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           2 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           2 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           2 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           2 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           2 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           2 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           2 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           2 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           2 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           2 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           2 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           2 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           2 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           2 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           2 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           2 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           2 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           3 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           3 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           3 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           3 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           3 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           3 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           3 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           3 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           3 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           3 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           3 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           3 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           3 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           3 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           3 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           3 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           3 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           3 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           3 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           3 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           3 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           3 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           3 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           3 |
