+----+-------------+------------+-------+----------------------+
|    | Package     |   Accuracy |   Lag |   significance level |
|----+-------------+------------+-------+----------------------|
|  0 | statsmodels |        0.7 |     1 |                 0.01 |
|  1 | statsmodels |        0.7 |     2 |                 0.01 |
|  2 | statsmodels |        0.7 |     3 |                 0.01 |
|  3 | statsmodels |        0.7 |     4 |                 0.01 |
|  4 | statsmodels |        0.7 |     5 |                 0.01 |
|  5 | statsmodels |        0.7 |     6 |                 0.01 |
|  6 | statsmodels |        0.7 |     7 |                 0.01 |
|  0 | vars        |        0.7 |     1 |                 0.01 |
|  1 | vars        |        0.7 |     2 |                 0.01 |
|  2 | vars        |        0.7 |     3 |                 0.01 |
|  3 | vars        |        0.7 |     4 |                 0.01 |
|  4 | vars        |        0.7 |     5 |                 0.01 |
|  5 | vars        |        0.7 |     6 |                 0.01 |
|  6 | vars        |        0.7 |     7 |                 0.01 |
|  0 | statsmodels |        0.7 |     1 |                 0.02 |
|  1 | statsmodels |        0.7 |     2 |                 0.02 |
|  2 | statsmodels |        0.7 |     3 |                 0.02 |
|  3 | statsmodels |        0.7 |     4 |                 0.02 |
|  4 | statsmodels |        0.7 |     5 |                 0.02 |
|  5 | statsmodels |        0.7 |     6 |                 0.02 |
|  6 | statsmodels |        0.7 |     7 |                 0.02 |
|  0 | vars        |        0.7 |     1 |                 0.02 |
|  1 | vars        |        0.7 |     2 |                 0.02 |
|  2 | vars        |        0.7 |     3 |                 0.02 |
|  3 | vars        |        0.7 |     4 |                 0.02 |
|  4 | vars        |        0.7 |     5 |                 0.02 |
|  5 | vars        |        0.7 |     6 |                 0.02 |
|  6 | vars        |        0.7 |     7 |                 0.02 |
|  0 | statsmodels |        0.7 |     1 |                 0.03 |
|  1 | statsmodels |        0.7 |     2 |                 0.03 |
|  2 | statsmodels |        0.7 |     3 |                 0.03 |
|  3 | statsmodels |        0.7 |     4 |                 0.03 |
|  4 | statsmodels |        0.7 |     5 |                 0.03 |
|  5 | statsmodels |        0.7 |     6 |                 0.03 |
|  6 | statsmodels |        0.7 |     7 |                 0.03 |
|  0 | vars        |        0.7 |     1 |                 0.03 |
|  1 | vars        |        0.7 |     2 |                 0.03 |
|  2 | vars        |        0.7 |     3 |                 0.03 |
|  3 | vars        |        0.7 |     4 |                 0.03 |
|  4 | vars        |        0.7 |     5 |                 0.03 |
|  5 | vars        |        0.7 |     6 |                 0.03 |
|  6 | vars        |        0.7 |     7 |                 0.03 |
